alpha;2.439896e-04;beta;8.502317e-09
msglen;tmin
1.638400e+04;2.480000e-04
2.782720e+05;2.694000e-03
5.401600e+05;4.855000e-03
8.020480e+05;7.065000e-03
1.063936e+06;9.293500e-03
1.325824e+06;1.151500e-02
1.587712e+06;1.373000e-02
1.849600e+06;1.595800e-02
2.111488e+06;1.817650e-02
2.373376e+06;2.040250e-02
2.635264e+06;2.264400e-02
2.897152e+06;2.489200e-02
3.159040e+06;2.707950e-02
3.420928e+06;2.929050e-02
3.682816e+06;3.158500e-02
3.944704e+06;3.373150e-02
4.206592e+06;3.603300e-02
4.468480e+06;3.825600e-02
4.730368e+06;4.044150e-02
4.992256e+06;4.270200e-02
5.254144e+06;4.492000e-02
5.516032e+06;4.714950e-02
5.777920e+06;4.936200e-02
6.039808e+06;5.161600e-02
6.301696e+06;5.380550e-02
6.563584e+06;5.609800e-02
6.825472e+06;5.825700e-02
7.087360e+06;6.054350e-02
7.349248e+06;6.276500e-02
7.611136e+06;6.497950e-02
7.873024e+06;6.721000e-02
8.134912e+06;6.943200e-02
8.396800e+06;7.165500e-02
8.658688e+06;7.387650e-02
8.920576e+06;7.610400e-02
9.182464e+06;7.832000e-02
9.444352e+06;8.055150e-02
9.706240e+06;8.276750e-02
9.968128e+06;8.499850e-02
1.023002e+07;8.721000e-02
1.049190e+07;8.946500e-02
1.075379e+07;9.165750e-02
1.101568e+07;9.391800e-02
1.127757e+07;9.610150e-02
1.153946e+07;9.836850e-02
1.180134e+07;1.006145e-01
1.206323e+07;1.028340e-01
1.232512e+07;1.049890e-01
1.258701e+07;1.072760e-01
1.284890e+07;1.095000e-01
1.311078e+07;1.117245e-01
1.337267e+07;1.139445e-01
1.363456e+07;1.161420e-01
1.389645e+07;1.183900e-01
1.415834e+07;1.206100e-01
1.442022e+07;1.228355e-01
1.468211e+07;1.250550e-01
1.494400e+07;1.273460e-01
1.520589e+07;1.295005e-01
1.546778e+07;1.317525e-01
1.572966e+07;1.339460e-01
1.599155e+07;1.362105e-01
1.625344e+07;1.384235e-01
1.651533e+07;1.406485e-01
