L1 Size
problem;l1dsize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
11;1k;5300302;725124;970290;142220;189087;28328;64;44461595;1,0
11;2k;5300295;673408;908133;142207;189072;28327;64;43559278;0,979705698817
11;4k;5300291;522434;712786;142216;189080;28327;64;40691528;0,915206213362
11;8k;5300312;176267;226038;142215;189077;28327;64;33455246;0,752452672919
11;16k;5300290;160455;208511;142211;189076;28327;64;33204676;0,746817022646
11;64k;5300286;146367;193430;142188;189035;28327;64;32988933;0,741964677605
11;128k;5300312;144218;191177;142182;189036;28327;64;32957308;0,741253389583
11;256k;5300329;143330;190249;142591;189002;28327;64;32935628;0,740765777746
11;512k;5300319;142650;189555;146777;149455;28329;64;30917397;0,695373096714
12;1k;39706704;5241125;7063831;1002382;1335971;114346;64;301748255;1,0
12;2k;39706697;4283498;5855045;1002105;1335650;112955;64;283697682;0,940180025233
12;4k;39706714;4128587;5675197;1002365;1335948;114346;64;281478283;0,932824890735
12;8k;39706697;1112968;1449673;1002372;1335959;114348;64;218692123;0,724750249177
12;16k;39706709;1058899;1393759;1002368;1335952;114348;64;217903553;0,722136911778
12;64k;39706709;1006298;1340089;1002360;1335942;114344;64;217147568;0,719631561747
12;128k;39706721;1004562;1338262;1002334;1335903;114348;64;217121328;0,71954460184
12;256k;39706710;1003660;1337306;1002852;1335899;114347;64;217098486;0,719468902977
12;512k;39706714;1002965;1336581;1331132;1335635;114347;64;211494562;0,700897382157
13;1k;600385137;78830331;106350214;15019300;20025202;15017526;64;8018099140;1,0
13;2k;600385137;64438952;88203241;15019307;20025209;15017526;64;7752774960;0,966909341557
13;4k;600385137;57239239;79124412;15019293;20025197;15017518;64;7620031568;0,950353872526
13;8k;600385116;16369500;21377849;15019290;20025191;15017517;64;6760948647;0,843210906843
13;16k;600385115;15696498;20703690;15019295;20025201;15017519;64;6751507874;0,842033474034
13;64k;600385111;15023211;20029319;15019270;20025160;15017100;64;6741952473;0,840841745067
13;128k;600385133;15021676;20027674;15019271;20025164;15013478;64;6740984016;0,840720961203
13;256k;600385133;15020624;20026597;15021013;20025119;15017518;64;6741991484;0,840846610435
13;512k;600385154;15019938;20025892;20012121;20024858;15017508;64;6657117385;0,830261296195
