L3 Associativity
problem;l3uassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
11;1;5300290;146281;193356;142190;189040;28530;64;33041139;1,0
11;2;5300311;146199;193277;142188;189038;28391;64;33003762;0,998868773864
11;3;5300301;146182;193287;142200;189061;28330;64;32988955;0,99842063556
11;4;5300311;146197;193306;142193;189048;28365;64;32997880;0,998690753367
11;8;5300301;146662;193830;142208;189075;28335;64;32998601;0,998712574648
11;16;5300319;146700;193888;142199;189058;28328;64;32997020;0,998664725208
11;32;5300319;146357;193450;142202;189068;28328;64;32991042;0,998483799242
11;64;5300308;146515;193695;142206;189070;28327;64;32994469;0,998587518427
11;128;5300353;146240;193302;142197;189056;28327;64;32988215;0,998398239237
12;1;39706736;1006421;1340221;1002325;1335908;781307;64;391225796;1,0
12;2;39706736;1006735;1340579;1002312;1335881;344022;64;277098453;0,708282674182
12;3;39706736;1007200;1341271;1002325;1335908;114645;64;217242527;0,555286817028
12;4;39706719;1006959;1340868;1002324;1335902;114466;64;217189352;0,555150898076
12;8;39706719;1006790;1340671;1002323;1335906;114388;64;217166365;0,555092141726
12;16;39706744;1006634;1340515;1002312;1335888;114347;64;217152860;0,555057622018
12;32;39706737;1006709;1340581;1002321;1335902;114337;64;217151659;0,55505455218
12;64;39706754;1006241;1340034;1002306;1335872;114334;64;217141817;0,555029395352
12;128;39706757;1008313;1342453;1002325;1335906;113953;64;217078635;0,554867897821
13;1;600385154;15023611;20029765;15019279;20025176;15017791;64;6742139966;1,0
13;2;600385175;15024421;20030772;15019271;20025158;15017672;64;6742122913;0,999997470684
13;3;600385186;15023546;20029648;15019274;20025166;15017518;64;6742066610;0,999989119775
13;4;600385154;15023749;20029887;15019279;20025177;15017544;64;6742077208;0,999990691679
13;8;600385158;15023618;20029753;15019286;20025189;15017517;64;6742068757;0,99998943822
13;16;600385138;15023407;20029533;15019284;20025184;15017517;64;6742065379;0,999988937192
13;32;600385159;15023316;20029500;15019284;20025184;15017517;64;6742065154;0,99998890382
13;64;600385121;15023490;20029634;15019284;20025186;15017517;64;6742066894;0,999989161898
13;128;600385136;15024053;20030433;15019286;20025191;15017520;64;6742079827;0,999991080132
