Line Size
problem;lsize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
11;8;5304139;1068418;1073512;1064364;1069207;175107;8;110956749;1,0
11;16;5301935;552556;732901;549346;729337;101677;16;79643782;0,717791235935
11;32;5300842;282153;374167;278669;370405;53358;32;48755816;0,43941280219
11;64;5300288;146927;194399;142194;189056;28326;64;33004398;0,297452821009
11;128;5300042;77864;101703;72496;96093;14670;128;34124172;0,307544807392
11;256;5299893;44473;56755;37166;49104;7597;256;35284921;0,318006081811
11;512;5299837;29826;36528;19129;25185;3940;512;37028562;0,333720682462
11;1024;5299818;21820;25821;9982;13095;2045;1024;39688777;0,357695925283
12;8;39710393;7949858;7954871;7945539;7950317;861283;8;709800645;1,0
12;16;39708283;3992984;5320197;3990025;5316906;445753;16;506628748;0,71376202821
12;32;39707230;2003146;2668838;1998971;2664144;225391;32;313870098;0,442194720744
12;64;39706713;1006619;1340490;1002319;1335899;114336;64;217149936;0,305930880071
12;128;39706497;508940;676529;502540;669498;57673;128;219563609;0,309331374304
12;256;39706351;259270;343291;252170;335787;28724;256;220845907;0,311137935075
12;512;39706286;135151;177467;126608;168504;14692;512;223060469;0,314257912516
12;1024;39706274;76963;98982;63692;84727;7423;1024;226533024;0,319150208718
13;8;600388856;120085678;120090719;120081469;120086285;120080272;8;38666245741;1,0
13;16;600386727;60061336;80077845;60057848;80074013;60055548;16;21559440787;0,557577814288
13;32;600385655;30036347;40046508;30032889;40042703;30030817;32;11681415131;0,302108852492
13;64;600385145;15024108;20030310;15019293;20025200;15017520;64;6742077920;0,174365982288
13;128;600384872;7517139;10020845;7511021;10014140;7509631;128;7095793760;0,18351390532
13;256;600384749;3763779;5015816;3756404;5008100;3755391;256;7273484612;0,188109408416
13;512;600384668;1889547;2515996;1878711;2504644;1878034;512;7363801384;0,19044521243
13;1024;600384651;951675;1265550;939767;1252822;939266;1024;7411366713;0,19167536364
