L1 Associativity
problem;l1dassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
11;1;5300315;156529;206170;142204;189065;28327;64;33176312;1,0
11;2;5300294;146488;193682;142205;189069;28327;64;32994255;0,994512440081
11;3;5300298;145500;192550;142205;189072;28328;64;32978395;0,99403438815
11;4;5300315;145346;192376;142183;189034;28327;64;32974201;0,993907972652
11;5;5300294;145111;192154;142190;189041;28327;64;32971293;0,993820319751
11;6;5300298;145037;192056;142198;189060;28327;64;32970656;0,993801119305
11;7;5300298;144957;191974;142197;189058;28327;64;32969421;0,993763893949
11;8;5300305;144914;191923;142190;189045;28329;64;32968708;0,993742402712
12;1;39706696;1063513;1412458;1002361;1335940;114344;64;218206042;1,0
12;2;39706707;1006544;1340405;1002352;1335926;114345;64;217151809;0,995168635156
12;3;39706657;1005667;1339435;1002362;1335949;114348;64;217139540;0,995112408482
12;4;39706664;1005652;1339395;1002351;1335924;114346;64;217137366;0,995102445422
12;5;39706653;1005165;1338911;1002352;1335926;114345;64;217130386;0,995070457307
12;6;39706657;1005285;1339043;1002348;1335924;114345;64;217132252;0,995079008857
12;7;39706653;1005087;1338821;1002355;1335936;114345;64;217129529;0,995066529826
12;8;39706664;1005200;1338937;1002359;1335942;114346;64;217131682;0,995076396647
13;1;600385119;15852389;21083964;15019276;20025164;15017518;64;6757503120;1,0
13;2;600385123;15023446;20029607;15019266;20025154;15017517;64;6742065311;0,997715456623
13;3;600385140;15022648;20028773;15019260;20025147;15017517;64;6742053337;0,997713684666
13;4;600385119;15022480;20028533;15019268;20025166;15017518;64;6742050754;0,997713302425
13;5;600385130;15022265;20028329;15019279;20025182;15017520;64;6742049083;0,997713055144
13;6;600385130;15022152;20028219;15019280;20025183;15017520;64;6742047584;0,997712833316
13;7;600385140;15022071;20028128;15019272;20025169;15017517;64;6742044977;0,997712447523
13;8;600385140;15022039;20028082;15019275;20025173;15017517;64;6742044436;0,997712367464
