L2 Associativity
problem;l2uassoc;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
11;1;5300301;146751;193974;126271;172359;28329;64;32451061;1,0
11;2;5300311;146374;193436;142635;189479;28327;64;33003246;1,01701593054
11;3;5300301;146338;193459;122989;163397;28328;64;32059940;0,98794735864
11;4;5300294;146555;193602;142262;189099;28327;64;32993195;1,01670620261
11;8;5300301;146287;193417;142210;189075;28328;64;32990844;1,01663375506
11;16;5300308;146607;193736;142198;189060;28327;64;32994536;1,01674752638
11;32;5300329;146301;193461;142186;189036;28327;64;32989870;1,01660374063
11;64;5300333;146559;193741;142203;189067;28327;64;32995098;1,01676484476
11;128;5300332;146951;194235;142191;189048;28327;64;33001590;1,01696489985
12;1;39706649;1006858;1340714;1003646;1336921;114345;64;217182703;1,0
12;2;39706660;1006438;1340303;1003126;1336594;114344;64;217169565;0,999939507153
12;3;39706653;1006552;1340449;1002446;1336023;114346;64;217155787;0,999876067479
12;4;39706653;1006268;1340056;1002441;1336006;114356;64;217151820;0,999857801751
12;8;39706670;1006986;1340887;1002375;1335957;114343;64;217159172;0,999891653434
12;16;39706678;1006612;1340431;1002351;1335925;114347;64;217152450;0,999860702535
12;32;39706688;1006471;1340307;1002357;1335939;114345;64;217150857;0,999853367697
12;64;39706688;1006544;1340350;1002347;1335920;114345;64;217150608;0,999852221196
12;128;39706674;1006630;1340509;1002354;1335935;114349;64;217154671;0,999870928948
13;1;600385154;15023744;20029856;15024395;20025998;15017518;64;6742023167;1,0
13;2;600385158;15023656;20029768;15019791;20025636;15017519;64;6742082738;1,00000883578
13;3;600385158;15023658;20029780;15019433;20025330;15017519;64;6742074028;1,00000754388
13;4;600385154;15024433;20030674;15019502;20025402;15017518;64;6742088983;1,00000976205
13;8;600385154;15023615;20029734;15019300;20025203;15017518;64;6742069140;1,00000681887
13;16;600385138;15023287;20029415;15019276;20025166;15017518;64;6742063248;1,00000594495
13;32;600385149;15023292;20029430;15019276;20025170;15017518;64;6742063717;1,00000601452
13;64;600385128;15024022;20030308;15019287;20025191;15017518;64;6742077232;1,00000801911
13;128;600385125;15023820;20030119;15019283;20025183;15017517;64;6742074031;1,00000754432
