L3 Size
problem;l3usize;l1access;l1miss;l2access;l2miss;l3access;l3miss;linesize;cycles;relcycles
11;512k;5300329;147100;194334;142199;189062;149191;64;64548871;1,0
11;1m;5300294;146322;193373;142190;189041;28791;64;33109487;0,512936732852
11;2m;5300294;146772;193901;142204;189068;28331;64;32998138;0,511211698807
11;4m;5300294;146695;193791;142204;189068;28327;64;32995455;0,511170133402
11;8m;5300311;147205;194498;142189;189037;28327;64;33004731;0,511313838471
11;16m;5300312;146847;194189;142204;189069;28327;64;33001868;0,511269484481
11;32m;5300329;146496;193648;142192;189048;28327;64;32992950;0,511131325597
11;64m;5300308;146341;193433;142197;189060;28327;64;32990200;0,511088722218
11;128m;5300325;146344;193447;142186;189035;28327;64;32989442;0,511076979178
12;512k;39706727;1006641;1340495;1002347;1335915;1333686;64;535400655;1,0
12;1m;39706692;1006256;1340028;1002357;1335936;1000685;64;448481364;0,837655613253
12;2m;39706692;1006834;1340682;1002360;1335940;1000603;64;448469491;0,837633437337
12;4m;39706717;1006543;1340334;1002364;1335949;1000605;64;448465418;0,83762582995
12;8m;39706696;1006291;1340077;1002360;1335943;114346;64;217147917;0,405580222908
12;16m;39706710;1006501;1340306;1002357;1335938;114343;64;217150245;0,405584571054
12;32m;39706710;1006956;1340988;1002361;1335943;114343;64;217160651;0,405604006966
12;64m;39706721;1006518;1340338;1002355;1335933;114345;64;217151082;0,405586134369
12;128m;39706731;1006993;1340814;1002361;1335946;114344;64;217158053;0,405599154525
13;512k;600385161;15023936;20030100;15019280;20025174;20022938;64;8048487959;1,0
13;1m;600385126;15023180;20029274;15019285;20025190;15017595;64;6742082256;0,83768308909
13;2m;600385126;15023637;20029755;15019281;20025174;15017518;64;6742068249;0,837681348763
13;4m;600385115;15023955;20030217;15019283;20025185;15017518;64;6742075621;0,837682264712
13;8m;600385136;15023688;20029923;15019281;20025181;15017517;64;6742071064;0,837681698518
13;16m;600385144;15024110;20030251;15019284;20025183;15017520;64;6742076228;0,83768234013
13;32m;600385144;15023569;20029706;15019281;20025186;15017520;64;6742068784;0,837681415235
13;64m;600385154;15023498;20029599;15019271;20025166;15017518;64;6742065876;0,837681053925
13;128m;600385171;15024983;20031557;15019287;20025189;1516030;64;3218207245;0,399852402264
